Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2019-10-20,4:00 AM,88 F,77 F,70 %,E,7 mph,0 mph,29.93 in,0.0 in,Haze
2019-10-20,4:30 AM,88 F,77 F,70 %,NNE,7 mph,0 mph,29.93 in,0.0 in,Haze
2019-10-20,5:00 AM,90 F,77 F,66 %,ENE,6 mph,0 mph,29.93 in,0.0 in,Haze
2019-10-20,5:30 AM,90 F,79 F,70 %,NNE,3 mph,0 mph,29.90 in,0.0 in,Haze
2019-10-20,6:00 AM,90 F,79 F,70 %,N,5 mph,0 mph,29.90 in,0.0 in,Haze
2019-10-20,6:30 AM,91 F,79 F,66 %,NE,5 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,7:00 AM,91 F,79 F,66 %,NNE,6 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,7:30 AM,91 F,79 F,66 %,N,5 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,8:00 AM,91 F,79 F,66 %,N,6 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,8:30 AM,91 F,79 F,66 %,N,6 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,9:00 AM,93 F,77 F,59 %,NNE,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,9:30 AM,91 F,77 F,63 %,NNE,5 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,10:00 AM,91 F,77 F,63 %,N,6 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,10:30 AM,90 F,73 F,59 %,N,6 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-20,11:00 AM,90 F,73 F,59 %,NE,5 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,11:30 AM,88 F,73 F,62 %,NE,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,12:00 PM,86 F,75 F,70 %,NE,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,12:30 PM,86 F,75 F,70 %,ENE,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,1:00 PM,86 F,75 F,70 %,ENE,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,1:30 PM,84 F,75 F,74 %,NNW,3 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,2:00 PM,82 F,77 F,84 %,,5 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,2:30 PM,82 F,77 F,84 %,N,3 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,3:00 PM,82 F,77 F,84 %,N,5 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,3:30 PM,82 F,77 F,84 %,N,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,4:00 PM,81 F,77 F,89 %,NNW,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,4:30 PM,81 F,77 F,89 %,N,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,5:00 PM,81 F,77 F,89 %,N,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,5:30 PM,81 F,77 F,89 %,NNE,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-20,6:00 PM,81 F,77 F,89 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,6:30 PM,81 F,77 F,89 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,7:00 PM,81 F,77 F,89 %,NNW,5 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,7:30 PM,79 F,77 F,94 %,NNW,5 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,8:00 PM,79 F,75 F,89 %,NNW,5 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,8:30 PM,79 F,75 F,89 %,N,5 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,9:00 PM,79 F,75 F,89 %,N,5 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,9:30 PM,79 F,75 F,89 %,N,3 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,10:00 PM,79 F,75 F,89 %,NNW,5 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-20,10:30 PM,77 F,75 F,94 %,N,5 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,11:00 PM,77 F,75 F,94 %,N,6 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-20,11:30 PM,77 F,75 F,94 %,NNW,5 mph,0 mph,29.84 in,0.0 in,Fog
2019-10-21,12:00 AM,77 F,75 F,94 %,NW,6 mph,0 mph,29.84 in,0.0 in,Fog
2019-10-21,12:30 AM,77 F,75 F,94 %,NW,6 mph,0 mph,29.87 in,0.0 in,Fog
2019-10-21,1:00 AM,77 F,75 F,94 %,NW,6 mph,0 mph,29.87 in,0.0 in,Fog
2019-10-21,1:30 AM,77 F,75 F,94 %,NNW,5 mph,0 mph,29.90 in,0.0 in,Fog
2019-10-21,2:00 AM,79 F,77 F,94 %,N,6 mph,0 mph,29.90 in,0.0 in,Fog
2019-10-21,2:30 AM,79 F,77 F,94 %,N,6 mph,0 mph,29.90 in,0.0 in,Fog
2019-10-21,3:00 AM,81 F,77 F,89 %,NNE,6 mph,0 mph,29.90 in,0.0 in,Fog
2019-10-21,3:30 AM,82 F,77 F,84 %,NNE,8 mph,0 mph,29.90 in,0.0 in,Haze
2019-10-21,4:00 AM,84 F,77 F,79 %,NE,5 mph,0 mph,29.90 in,0.0 in,Haze
2019-10-21,4:30 AM,86 F,79 F,79 %,N,6 mph,0 mph,29.90 in,0.0 in,Haze
2019-10-21,5:00 AM,86 F,77 F,74 %,N,6 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-21,5:30 AM,88 F,79 F,75 %,NNW,6 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-21,6:00 AM,88 F,79 F,75 %,N,3 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-21,6:30 AM,90 F,79 F,70 %,N,5 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-21,7:00 AM,90 F,79 F,70 %,N,7 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,7:30 AM,90 F,79 F,70 %,N,7 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,8:00 AM,90 F,79 F,70 %,N,7 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-21,8:30 AM,90 F,79 F,70 %,NW,5 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-21,9:00 AM,90 F,81 F,75 %,NW,6 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-21,9:30 AM,90 F,81 F,75 %,NNW,5 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-21,10:00 AM,90 F,81 F,75 %,WNW,8 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-21,10:30 AM,88 F,79 F,75 %,NW,6 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-21,11:00 AM,88 F,79 F,75 %,NW,3 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-21,11:30 AM,86 F,79 F,79 %,NNW,5 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-21,12:00 PM,86 F,79 F,79 %,NNW,3 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-21,12:30 PM,86 F,79 F,79 %,NW,5 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-21,1:00 PM,84 F,79 F,84 %,NW,3 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-21,1:30 PM,84 F,79 F,84 %,NW,3 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-21,2:00 PM,84 F,79 F,84 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,2:30 PM,82 F,77 F,84 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,3:00 PM,82 F,79 F,89 %,NW,5 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,3:30 PM,82 F,79 F,89 %,NNW,7 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,4:00 PM,81 F,79 F,94 %,NNW,5 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,4:30 PM,81 F,79 F,94 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,5:00 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-21,5:30 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-21,6:00 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-21,6:30 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-21,7:00 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-21,7:30 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-21,8:00 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-21,8:30 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-21,9:00 PM,79 F,77 F,94 %,NNW,5 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-21,9:30 PM,79 F,77 F,94 %,N,6 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-21,10:00 PM,77 F,75 F,94 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-21,10:30 PM,77 F,75 F,94 %,N,3 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-21,11:00 PM,77 F,75 F,94 %,N,6 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-21,11:30 PM,77 F,75 F,94 %,N,5 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-22,12:00 AM,77 F,75 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-22,12:30 AM,77 F,75 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-22,1:00 AM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Fog
2019-10-22,1:30 AM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Fog
2019-10-22,2:00 AM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Fog
2019-10-22,2:30 AM,81 F,77 F,89 %,NNW,3 mph,0 mph,29.84 in,0.0 in,Fog
2019-10-22,3:00 AM,82 F,77 F,84 %,N,3 mph,0 mph,29.87 in,0.0 in,Fog
2019-10-22,3:30 AM,82 F,77 F,84 %,N,3 mph,0 mph,29.84 in,0.0 in,Fog
2019-10-22,4:00 AM,84 F,77 F,79 %,NNW,3 mph,0 mph,29.84 in,0.0 in,Fog
2019-10-22,4:30 AM,86 F,77 F,74 %,NNE,3 mph,0 mph,29.84 in,0.0 in,Haze
2019-10-22,5:00 AM,88 F,79 F,75 %,N,5 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-22,5:30 AM,88 F,79 F,75 %,NNE,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-22,6:00 AM,88 F,79 F,75 %,NNW,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-22,6:30 AM,90 F,79 F,70 %,N,3 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,7:00 AM,88 F,79 F,75 %,NW,8 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-22,7:30 AM,88 F,77 F,70 %,N,6 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,8:00 AM,90 F,77 F,66 %,W,3 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,8:30 AM,90 F,77 F,66 %,NW,5 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,9:00 AM,91 F,77 F,63 %,NW,7 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-22,9:30 AM,90 F,75 F,62 %,NNW,6 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-22,10:00 AM,90 F,75 F,62 %,NNW,5 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-22,10:30 AM,90 F,75 F,62 %,NNW,8 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-22,11:00 AM,88 F,75 F,66 %,NNW,6 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-22,11:30 AM,88 F,75 F,66 %,NNW,6 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-22,12:00 PM,86 F,75 F,70 %,CALM,0 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-22,12:30 PM,84 F,75 F,74 %,N,3 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,1:00 PM,82 F,75 F,79 %,N,3 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,1:30 PM,82 F,75 F,79 %,NNW,3 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,2:00 PM,82 F,75 F,79 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,2:30 PM,82 F,75 F,79 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-22,3:00 PM,82 F,75 F,79 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-22,3:30 PM,81 F,77 F,89 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-22,4:00 PM,81 F,77 F,89 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-22,4:30 PM,81 F,77 F,89 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-22,5:00 PM,81 F,77 F,89 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-22,5:30 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,6:00 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-22,6:30 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-22,7:00 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,7:30 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,8:00 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,8:30 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,9:00 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,9:30 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,10:00 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,10:30 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,11:00 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-22,11:30 PM,79 F,75 F,89 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-23,12:00 AM,77 F,75 F,94 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-23,12:30 AM,77 F,75 F,94 %,CALM,0 mph,0 mph,29.75 in,0.0 in,Fog
2019-10-23,1:00 AM,77 F,75 F,94 %,NE,3 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-23,1:30 AM,79 F,75 F,89 %,N,3 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-23,2:00 AM,81 F,77 F,89 %,N,3 mph,0 mph,29.81 in,0.0 in,Fog
2019-10-23,2:30 AM,82 F,77 F,84 %,N,5 mph,0 mph,29.81 in,0.0 in,Fog
2019-10-23,3:00 AM,84 F,75 F,74 %,NNE,6 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-23,3:30 AM,84 F,75 F,74 %,ENE,5 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-23,4:00 AM,86 F,77 F,74 %,E,5 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-23,4:30 AM,86 F,77 F,74 %,E,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-23,5:00 AM,88 F,77 F,70 %,ESE,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-23,5:30 AM,88 F,77 F,70 %,N,3 mph,0 mph,29.81 in,0.0 in,Haze
2019-10-23,6:00 AM,90 F,77 F,66 %,NNE,3 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-23,6:30 AM,90 F,77 F,66 %,SE,3 mph,0 mph,29.78 in,0.0 in,Haze
2019-10-23,7:00 AM,88 F,77 F,70 %,N,6 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-23,7:30 AM,88 F,77 F,70 %,N,6 mph,0 mph,29.75 in,0.0 in,Haze
2019-10-23,8:00 AM,86 F,77 F,74 %,N,8 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-23,8:30 AM,86 F,79 F,79 %,N,8 mph,0 mph,29.72 in,0.0 in,Haze
2019-10-23,9:00 AM,84 F,79 F,84 %,N,8 mph,0 mph,29.69 in,0.0 in,Haze
2019-10-23,9:30 AM,82 F,79 F,89 %,N,6 mph,0 mph,29.69 in,0.0 in,Light Rain
2019-10-23,10:00 AM,82 F,79 F,89 %,NW,5 mph,0 mph,29.72 in,0.0 in,Light Rain
2019-10-23,10:30 AM,81 F,79 F,94 %,W,5 mph,0 mph,29.72 in,0.0 in,T-Storm
2019-10-23,11:00 AM,79 F,77 F,94 %,WSW,5 mph,0 mph,29.72 in,0.0 in,T-Storm
2019-10-23,11:30 AM,79 F,79 F,100 %,W,5 mph,0 mph,29.75 in,0.0 in,Rain
2019-10-23,12:00 PM,79 F,77 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-23,12:30 PM,77 F,75 F,94 %,ESE,5 mph,0 mph,29.78 in,0.0 in,Fog
2019-10-23,1:00 PM,77 F,75 F,94 %,ENE,5 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-23,1:30 PM,75 F,75 F,100 %,ENE,6 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-23,2:00 PM,75 F,73 F,94 %,NE,6 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-23,2:30 PM,75 F,73 F,94 %,NNW,3 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-23,3:00 PM,73 F,72 F,94 %,N,3 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-23,3:30 PM,73 F,72 F,94 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-23,4:00 PM,73 F,72 F,94 %,NNE,5 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-23,4:30 PM,73 F,72 F,94 %,N,3 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-23,5:00 PM,73 F,72 F,94 %,N,3 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-23,5:30 PM,73 F,72 F,94 %,NE,3 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-23,6:00 PM,73 F,72 F,94 %,NE,3 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-23,6:30 PM,73 F,72 F,94 %,N,5 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-23,7:00 PM,73 F,72 F,94 %,N,5 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-23,7:30 PM,73 F,72 F,94 %,N,3 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-23,8:00 PM,73 F,72 F,94 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-23,8:30 PM,73 F,72 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-23,9:00 PM,73 F,72 F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-23,9:30 PM,73 F,72 F,94 %,NE,3 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-23,10:00 PM,73 F,72 F,94 %,NE,3 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-23,10:30 PM,73 F,72 F,94 %,NE,5 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-23,11:00 PM,73 F,72 F,94 %,NNE,6 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-23,11:30 PM,73 F,72 F,94 %,NNE,5 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-24,12:00 AM,73 F,72 F,94 %,NE,5 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,12:30 AM,73 F,72 F,94 %,NE,6 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,1:00 AM,73 F,72 F,94 %,NE,6 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,1:30 AM,73 F,72 F,94 %,NE,6 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,2:00 AM,73 F,72 F,94 %,NE,5 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,2:30 AM,73 F,72 F,94 %,NE,6 mph,0 mph,29.87 in,0.0 in,Light Rain
2019-10-24,3:00 AM,73 F,72 F,94 %,NNE,9 mph,0 mph,29.90 in,0.0 in,Light Rain
2019-10-24,3:30 AM,73 F,72 F,94 %,NE,7 mph,0 mph,29.90 in,0.0 in,Light Rain
2019-10-24,4:00 AM,73 F,72 F,94 %,ENE,6 mph,0 mph,29.90 in,0.0 in,Light Rain
2019-10-24,4:30 AM,73 F,72 F,94 %,ENE,7 mph,0 mph,29.87 in,0.0 in,Light Rain
2019-10-24,5:00 AM,73 F,72 F,94 %,NE,7 mph,0 mph,29.90 in,0.0 in,Light Rain
2019-10-24,5:30 AM,73 F,72 F,94 %,NE,7 mph,0 mph,29.87 in,0.0 in,Light Rain
2019-10-24,6:00 AM,73 F,72 F,94 %,NE,6 mph,0 mph,29.87 in,0.0 in,Light Rain
2019-10-24,6:30 AM,73 F,72 F,94 %,NE,7 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,7:00 AM,73 F,72 F,94 %,NE,7 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,7:30 AM,73 F,72 F,94 %,NE,7 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,8:00 AM,73 F,72 F,94 %,NNE,9 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,8:30 AM,73 F,72 F,94 %,NNE,7 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,9:00 AM,73 F,72 F,94 %,NNE,9 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,9:30 AM,73 F,72 F,94 %,NNE,7 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,10:00 AM,73 F,72 F,94 %,NNE,9 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,10:30 AM,73 F,72 F,94 %,NNE,12 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,11:00 AM,73 F,72 F,94 %,NNE,8 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,11:30 AM,72 F,70 F,94 %,NNE,9 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,12:00 PM,72 F,70 F,94 %,NNE,8 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,12:30 PM,72 F,70 F,94 %,NNE,9 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,1:00 PM,72 F,70 F,94 %,NE,9 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,1:03 PM,72 F,70 F,94 %,NE,9 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,1:30 PM,72 F,70 F,94 %,NE,9 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,2:00 PM,72 F,70 F,94 %,NE,8 mph,0 mph,29.84 in,0.0 in,Rain
2019-10-24,2:30 PM,70 F,68 F,94 %,NE,8 mph,0 mph,29.87 in,0.0 in,Light Rain
2019-10-24,3:00 PM,70 F,70 F,100 %,ENE,7 mph,0 mph,29.87 in,0.0 in,Rain
2019-10-24,3:30 PM,70 F,70 F,100 %,E,7 mph,0 mph,29.87 in,0.0 in,Rain
2019-10-24,4:00 PM,70 F,68 F,94 %,ENE,7 mph,0 mph,29.87 in,0.0 in,Rain
2019-10-24,4:30 PM,68 F,68 F,100 %,ENE,8 mph,0 mph,29.87 in,0.0 in,Rain
2019-10-24,5:00 PM,68 F,68 F,100 %,ENE,9 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,5:30 PM,68 F,68 F,100 %,ENE,7 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,6:00 PM,68 F,68 F,100 %,ENE,5 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,6:30 PM,68 F,68 F,100 %,ENE,6 mph,0 mph,29.84 in,0.0 in,Light Rain
2019-10-24,7:00 PM,68 F,68 F,100 %,ENE,9 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,7:30 PM,68 F,66 F,94 %,ENE,8 mph,0 mph,29.81 in,0.0 in,Light Rain
2019-10-24,8:00 PM,68 F,68 F,100 %,NE,7 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-24,8:30 PM,68 F,68 F,100 %,ENE,7 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-24,9:00 PM,68 F,68 F,100 %,ENE,7 mph,0 mph,29.78 in,0.0 in,Light Rain
2019-10-24,9:30 PM,68 F,68 F,100 %,ENE,7 mph,0 mph,29.75 in,0.0 in,Light Rain
